Business Name,Category,Address,Phone,Website,Source Query,Date Added
SWISH DENTAL DOWNTOWN,General Dentist,"201 W 5TH ST STE 175 AUSTIN, TX 78701",(512) 713-1099,http://downtown@swishsmiles.com,"dentists in Austin, TX",2026-08-06
PRIMAVERA DENTAL GROUP,General Dentist,"815 BRAZOS ST. AUSTIN, TX 78701",(512) 298-1623,http://downtown@primaveradentalgroup.com,"dentists in Austin, TX",2026-08-06
ENAMEL DENTISTRY SALTILLO PLLC,General Dentist,"901 E 5TH ST STE 170 AUSTIN, TX 78702",(512) 649-7510,http://drjanequintana@enamel dentistry.com,"dentists in Austin, TX",2026-08-06
BREEZE DENTAL E 5TH PLLC,General Dentist,"1300 E 5TH ST STE C AUSTIN, TX 78702",(512) 535-3888,http://breeze5th@breezeoralcare.com,"dentists in Austin, TX",2026-08-06
BLVD DENTISTRY,General Dentist,"1011 W 5TH ST STE 120 AUSTIN, TX 78703",(512) 617-0101,http://blvd5thstreet@mb2dental.com,"dentists in Austin, TX",2026-08-06
FOREST FAMILY DENTISTRY EASTSIDE,General Dentist,"31 NAVASOTA ST UNIT 130 AUSTIN, TX 78702",(512) 885-3424,http://info@forestfamily.com,"dentists in Austin, TX",2026-08-06
SETON ORAL & MAXILLOFACIAL SURGERY,Oral Surgeon,"1500 RED RIVER ST AUSTIN, TX 78701",(512) 992-1378,http://kybarra@midtownomsatx.com,"dentists in Austin, TX",2026-08-06
EGGLESTON ORAL & FACIAL SURGERY,Oral Surgeon,"1209 W 5TH ST STE 100 AUSTIN, TX 78703",(512) 391-0011,http://dr.todd.eggleston@gmail.com,"dentists in Austin, TX",2026-08-06
Austin Dental,Dental,,,https://www.lifetimedental.com/?utm_source=GMB&utm_medium=organic,"dentists in Austin, TX",2026-08-06
Enamel Dentistry,Dental,,,https://www.enameldentistry.com/,"dentists in Austin, TX",2026-08-06
Austin Artistic Dental,Dental,,,http://www.austinartisticdental.com/,"dentists in Austin, TX",2026-08-06
Perspective Dental,Dental,,,https://perspectivedentalatx.com/,"dentists in Austin, TX",2026-08-06
Austin Cosmetic,Dental,,,https://www.austincosmetic.com/,"dentists in Austin, TX",2026-08-06
North Austin Dentistry,Dentist,"6850 Austin Center Blvd #310, Austin, TX 78731",(512) 394-4153,https://northaustindentist.com,"dentists in Austin, TX",2026-08-06
Joe's Coffee,Cafe,"123 Brew St, Coffee Town, CT",(555) 123-4567,http://joescoffee.com,"dentists in Austin, TX",2026-08-06
Smith's Groceries,Grocery Store,"456 Market Rd, Food City, CT",(555) 987-6543,http://smithsgroceries.com,"dentists in Austin, TX",2026-08-06
Tech Haven,Electronics Store,"789 Gadget Ave, Tech City, CT",(555) 555-5555,http://techhaven.com,"dentists in Austin, TX",2026-08-06
Artisan Bakery,Bakery,"321 Artisan Way, Baker's Ridge, CT",(555) 222-3333,,"dentists in Austin, TX",2026-08-06
Green Thumb Landscaping,Landscaping Service,"654 Green St, Nature Valley, CT",(555) 444-7777,http://greenthumb.com,"dentists in Austin, TX",2026-08-06
Lakeside Dental,Dental,"6911 Ranch Road 620 N, Ste. C-100, Austin, TX 78732",(512) 249-5555,https://lakesidedentalaustin.com/,"dentists in Austin, TX",2026-08-06
